epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3563.18,0.66157,0.64926,1.17217,0.88671,0.86353,0.91021,0.7902,0.55684,0.43973,1.02289,0.0070696,0.0070696,0.0070696
76,3610.51,0.64335,0.63511,1.16474,0.69241,0.84713,0.8732,0.75435,0.54878,0.43986,1.01963,0.00703,0.00703,0.00703
77,3657.83,0.64708,0.63457,1.16049,0.92731,0.84653,0.91217,0.79614,0.53204,0.42383,1.00291,0.0069904,0.0069904,0.0069904
78,3705.35,0.65381,0.64049,1.16344,0.94896,0.7352,0.89706,0.77431,0.53028,0.42142,1.00156,0.0069508,0.0069508,0.0069508
79,3752.68,0.64652,0.62956,1.15915,0.79274,0.90064,0.91433,0.79881,0.52256,0.42288,0.99505,0.0069112,0.0069112,0.0069112
80,3800.04,0.63422,0.61017,1.15419,0.85336,0.82844,0.90619,0.804,0.52023,0.41708,0.99601,0.0068716,0.0068716,0.0068716
81,3847.43,0.64329,0.61677,1.16442,0.81435,0.90438,0.92399,0.80921,0.52078,0.40975,0.99402,0.006832,0.006832,0.006832
82,3894.95,0.63403,0.62785,1.14941,0.85815,0.80764,0.88062,0.77831,0.51362,0.41124,0.98473,0.0067924,0.0067924,0.0067924
83,3942.31,0.62747,0.62013,1.14704,0.68451,0.87474,0.87485,0.76819,0.51892,0.41767,0.99085,0.0067528,0.0067528,0.0067528
84,3989.62,0.62943,0.62249,1.14319,0.7759,0.87735,0.87305,0.77257,0.50728,0.4054,0.98201,0.0067132,0.0067132,0.0067132
85,4036.96,0.63158,0.6119,1.15057,0.74158,0.85071,0.89585,0.78537,0.498,0.39311,0.97524,0.0066736,0.0066736,0.0066736
86,4084.43,0.62394,0.61091,1.14195,0.867,0.85491,0.91308,0.79943,0.50472,0.39454,0.97814,0.006634,0.006634,0.006634
87,4131.78,0.62057,0.60971,1.14269,0.94758,0.84724,0.94022,0.82867,0.50231,0.38761,0.98097,0.0065944,0.0065944,0.0065944
88,4179.12,0.61438,0.58722,1.14272,0.95586,0.84701,0.91336,0.81619,0.49954,0.39361,0.97838,0.0065548,0.0065548,0.0065548
89,4226.39,0.62162,0.60254,1.14602,0.87986,0.86882,0.90578,0.80225,0.49706,0.38549,0.97941,0.0065152,0.0065152,0.0065152
90,4273.72,0.61291,0.59418,1.14212,0.82825,0.8816,0.91634,0.81525,0.49483,0.38781,0.97445,0.0064756,0.0064756,0.0064756
91,4321.21,0.61023,0.58902,1.13327,0.96179,0.8509,0.92178,0.80815,0.49155,0.39236,0.9661,0.006436,0.006436,0.006436
92,4368.49,0.60008,0.58209,1.13082,0.88661,0.83714,0.90193,0.80924,0.47941,0.37177,0.96046,0.0063964,0.0063964,0.0063964
93,4415.75,0.60653,0.57754,1.12871,0.87365,0.88366,0.90567,0.80381,0.4895,0.3769,0.96775,0.0063568,0.0063568,0.0063568
94,4463.07,0.61139,0.5956,1.13752,0.93655,0.8186,0.92093,0.82199,0.48326,0.38855,0.95944,0.0063172,0.0063172,0.0063172
95,4510.51,0.60967,0.5819,1.13576,0.83125,0.9008,0.92441,0.8245,0.48152,0.36887,0.95741,0.0062776,0.0062776,0.0062776
96,4557.85,0.60955,0.57445,1.13556,0.90123,0.88585,0.92897,0.83557,0.47828,0.37177,0.95582,0.006238,0.006238,0.006238
97,4605.19,0.59463,0.5663,1.12696,0.91955,0.85792,0.93409,0.83844,0.47784,0.3718,0.95702,0.0061984,0.0061984,0.0061984
98,4652.54,0.60664,0.5795,1.13463,0.82289,0.93422,0.93973,0.83921,0.47087,0.36732,0.94773,0.0061588,0.0061588,0.0061588
99,4699.98,0.59244,0.56819,1.12559,0.86194,0.9072,0.92523,0.83228,0.47298,0.36084,0.95208,0.0061192,0.0061192,0.0061192
100,4747.3,0.58575,0.56306,1.12462,0.96524,0.84498,0.90281,0.81006,0.46671,0.36296,0.95061,0.0060796,0.0060796,0.0060796
101,4794.58,0.59184,0.55714,1.12249,0.84675,0.91602,0.93989,0.84541,0.46532,0.3573,0.94282,0.00604,0.00604,0.00604
102,4841.87,0.58361,0.57065,1.11759,0.92417,0.85971,0.94837,0.84252,0.46586,0.35918,0.9411,0.0060004,0.0060004,0.0060004
103,4889.16,0.5927,0.57205,1.12455,0.93361,0.86995,0.93625,0.84137,0.46404,0.3613,0.94565,0.0059608,0.0059608,0.0059608
104,4936.63,0.58929,0.5419,1.12174,0.92633,0.8523,0.94496,0.85162,0.46333,0.35448,0.9363,0.0059212,0.0059212,0.0059212
105,4983.94,0.58207,0.54393,1.11666,0.8997,0.88752,0.95509,0.84624,0.46314,0.34925,0.9441,0.0058816,0.0058816,0.0058816
106,5031.22,0.58715,0.55588,1.12219,0.90601,0.88183,0.93249,0.84605,0.46032,0.35179,0.94081,0.005842,0.005842,0.005842
107,5078.5,0.58432,0.55078,1.1179,0.8442,0.9105,0.95197,0.85852,0.44789,0.34373,0.92761,0.0058024,0.0058024,0.0058024
108,5126.03,0.58158,0.54446,1.11676,0.88029,0.87923,0.94455,0.81998,0.44687,0.35085,0.93021,0.0057628,0.0057628,0.0057628
109,5173.4,0.58053,0.54971,1.11973,0.95912,0.85041,0.95017,0.84516,0.44503,0.34599,0.92782,0.0057232,0.0057232,0.0057232
110,5220.65,0.57668,0.54573,1.11519,0.86401,0.91468,0.94581,0.85359,0.44634,0.34332,0.92966,0.0056836,0.0056836,0.0056836
111,5267.95,0.58442,0.54626,1.11596,0.83556,0.94844,0.97528,0.88107,0.43894,0.33382,0.92337,0.005644,0.005644,0.005644
112,5315.48,0.5717,0.54124,1.11407,0.91886,0.90191,0.96121,0.86615,0.43976,0.33677,0.92207,0.0056044,0.0056044,0.0056044
113,5362.78,0.57339,0.54417,1.11057,0.86283,0.92211,0.96635,0.87834,0.44294,0.33997,0.92384,0.0055648,0.0055648,0.0055648
114,5410.05,0.57299,0.54285,1.10592,0.85726,0.93129,0.96563,0.87828,0.43194,0.33045,0.91363,0.0055252,0.0055252,0.0055252
115,5457.33,0.56316,0.52635,1.10947,0.88992,0.90878,0.97014,0.87736,0.43089,0.32678,0.91344,0.0054856,0.0054856,0.0054856
116,5504.58,0.56525,0.52938,1.10875,0.88699,0.87113,0.93453,0.85045,0.43532,0.32946,0.92192,0.005446,0.005446,0.005446
117,5552.07,0.5665,0.51171,1.1051,0.92793,0.92818,0.97563,0.87919,0.42853,0.32286,0.91397,0.0054064,0.0054064,0.0054064
118,5599.34,0.55566,0.51448,1.09878,0.90863,0.94154,0.96738,0.88092,0.42561,0.32272,0.91298,0.0053668,0.0053668,0.0053668
119,5646.61,0.55879,0.51521,1.10545,0.89833,0.93456,0.97699,0.8854,0.42397,0.32659,0.91193,0.0053272,0.0053272,0.0053272
120,5693.93,0.56486,0.5231,1.1044,0.85126,0.92488,0.95772,0.87304,0.42739,0.32346,0.91178,0.0052876,0.0052876,0.0052876
121,5741.33,0.55729,0.51354,1.10357,0.86186,0.92084,0.95936,0.8717,0.42426,0.31881,0.90764,0.005248,0.005248,0.005248
122,5788.62,0.55771,0.51827,1.09948,0.85572,0.95484,0.95989,0.87509,0.42134,0.32433,0.90584,0.0052084,0.0052084,0.0052084
123,5835.89,0.54903,0.4997,1.0891,0.90448,0.94701,0.95779,0.85908,0.41695,0.321,0.90463,0.0051688,0.0051688,0.0051688
124,5883.17,0.54215,0.50135,1.09113,0.92199,0.93138,0.96188,0.86319,0.42071,0.31994,0.90909,0.0051292,0.0051292,0.0051292
125,5930.43,0.54136,0.50513,1.08796,0.87899,0.93649,0.97208,0.88358,0.41569,0.31289,0.90662,0.0050896,0.0050896,0.0050896
126,5977.91,0.5491,0.50796,1.10075,0.88808,0.91091,0.96578,0.88186,0.40901,0.30727,0.89569,0.00505,0.00505,0.00505
127,6025.18,0.55372,0.49737,1.09768,0.93614,0.92121,0.97779,0.88384,0.41118,0.30681,0.89994,0.0050104,0.0050104,0.0050104
128,6072.43,0.54456,0.50111,1.08961,0.90304,0.93718,0.97011,0.88206,0.40277,0.30281,0.89123,0.0049708,0.0049708,0.0049708
129,6119.7,0.5418,0.495,1.09432,0.91794,0.95848,0.98311,0.89289,0.40275,0.3015,0.89156,0.0049312,0.0049312,0.0049312
130,6167.17,0.53796,0.49423,1.0858,0.92075,0.93735,0.97864,0.88552,0.40392,0.30627,0.89176,0.0048916,0.0048916,0.0048916
131,6214.47,0.53703,0.49494,1.08785,0.92622,0.9318,0.96987,0.89394,0.40006,0.3011,0.89081,0.004852,0.004852,0.004852
132,6261.75,0.53457,0.49281,1.08439,0.8823,0.95674,0.974,0.88676,0.3995,0.2999,0.88813,0.0048124,0.0048124,0.0048124
133,6309,0.52806,0.47706,1.08344,0.9036,0.961,0.98049,0.88881,0.39075,0.29637,0.88253,0.0047728,0.0047728,0.0047728
134,6356.41,0.53412,0.48364,1.08865,0.9155,0.9187,0.9743,0.89169,0.38863,0.29587,0.88049,0.0047332,0.0047332,0.0047332
135,6403.66,0.52645,0.47671,1.07916,0.86784,0.94785,0.98316,0.89605,0.38888,0.29332,0.88195,0.0046936,0.0046936,0.0046936
136,6451.05,0.52504,0.47889,1.0855,0.91266,0.94122,0.97974,0.89587,0.38819,0.29503,0.88085,0.004654,0.004654,0.004654
137,6498.35,0.52765,0.48096,1.07603,0.90752,0.94058,0.97864,0.89892,0.38453,0.29472,0.87792,0.0046144,0.0046144,0.0046144
138,6545.82,0.53663,0.48784,1.08979,0.89633,0.96078,0.97878,0.90029,0.37976,0.29577,0.87217,0.0045748,0.0045748,0.0045748
139,6593.23,0.53132,0.48696,1.08538,0.929,0.94442,0.98646,0.9011,0.38055,0.29306,0.8734,0.0045352,0.0045352,0.0045352
140,6640.56,0.53129,0.48521,1.08027,0.96244,0.91411,0.98654,0.90731,0.37661,0.2889,0.87043,0.0044956,0.0044956,0.0044956
141,6687.87,0.52152,0.47941,1.07709,0.92158,0.97865,0.99024,0.91212,0.37723,0.28612,0.87078,0.004456,0.004456,0.004456
142,6735.19,0.52811,0.47158,1.07506,0.89995,0.97675,0.98972,0.90557,0.3765,0.28439,0.86888,0.0044164,0.0044164,0.0044164
143,6782.67,0.52463,0.48329,1.07661,0.90328,0.97936,0.98827,0.89647,0.3768,0.28327,0.86884,0.0043768,0.0043768,0.0043768
144,6829.94,0.50939,0.46281,1.06956,0.91745,0.95833,0.98656,0.89412,0.37491,0.28088,0.86855,0.0043372,0.0043372,0.0043372
145,6877.14,0.51727,0.46718,1.06921,0.92007,0.95865,0.98703,0.90003,0.37639,0.28242,0.87058,0.0042976,0.0042976,0.0042976
146,6924.41,0.51569,0.46509,1.07335,0.89952,0.98394,0.98729,0.91022,0.37575,0.28163,0.86832,0.004258,0.004258,0.004258
147,6971.84,0.50373,0.4567,1.06517,0.92119,0.9615,0.99078,0.91121,0.37354,0.27949,0.86625,0.0042184,0.0042184,0.0042184
148,7019.17,0.5162,0.46877,1.06905,0.9315,0.97437,0.99109,0.89806,0.36969,0.27528,0.86123,0.0041788,0.0041788,0.0041788
149,7066.49,0.51532,0.46753,1.06988,0.92492,0.97818,0.99132,0.89957,0.36664,0.27527,0.85927,0.0041392,0.0041392,0.0041392
150,7113.82,0.50979,0.45761,1.06872,0.92158,0.98232,0.99089,0.90081,0.36608,0.27307,0.85907,0.0040996,0.0040996,0.0040996
151,7161.13,0.49964,0.44831,1.06784,0.9066,0.98643,0.99088,0.90484,0.36452,0.27532,0.85778,0.00406,0.00406,0.00406
152,7208.6,0.51507,0.45616,1.06939,0.91365,0.98148,0.99094,0.90661,0.36361,0.2726,0.85689,0.0040204,0.0040204,0.0040204
153,7255.87,0.50347,0.45047,1.06475,0.92535,0.97959,0.99096,0.91204,0.3635,0.27325,0.85548,0.0039808,0.0039808,0.0039808
